HBIM Data Element ID,Data Quality Requirement ID,DQ Dimension ID,Applies to Concept Resource ID,Extract Timestamp
e05e7a89-ba69-47ce-92e1-929c5d67825d,7c573d53-ea8d-43b3-8154-b985bf5d600e,Completeness,b858daf8-9b10-4469-8a81-c6169a7acb32,Fri Feb 19 05:32:15 HKT 2021
6e31acc0-9b22-4c78-90fe-3590c3fc5fb1,5cc192de-9453-44d7-a76f-f3ee71326f8d,Completeness,b4d843f6-b691-4853-9ad5-a2965849d72b,Fri Feb 19 05:32:15 HKT 2021
6e31acc0-9b22-4c78-90fe-3590c3fc5fb1,429ddcfa-fe67-4775-bcf5-21c1f63f6506,Conformity,db23a658-f48a-4163-b786-100cefea99c4,Fri Feb 19 05:32:15 HKT 2021
6e31acc0-9b22-4c78-90fe-3590c3fc5fb1,5919ad3d-f59e-44c6-8ba6-751f350cac25,Validity,04bf429d-9f3b-4689-898b-d04c8787aade,Fri Feb 19 05:32:15 HKT 2021
db20f83e-a82d-48c1-b9a3-c78193906e29,971c2ae8-ddda-4b0d-b1f2-6c1c17497581,,,Fri Feb 19 05:32:15 HKT 2021
db20f83e-a82d-48c1-b9a3-c78193906e29,2cb08aef-007f-44a2-87bf-9da9db5a9d05,Completeness,c455ae5c-cee0-4f33-8875-60b0d267a42f,Fri Feb 19 05:32:15 HKT 2021
db20f83e-a82d-48c1-b9a3-c78193906e29,cfd37633-f455-4d40-9aa2-a5d4ec2f05e9,Consistency,c455ae5c-cee0-4f33-8875-60b0d267a42f,Fri Feb 19 05:32:15 HKT 2021
db20f83e-a82d-48c1-b9a3-c78193906e29,493cae31-bd1e-4b50-8279-a07788e18e77,Validity,a180ab85-ca7f-4fdd-868e-481ab47a06fc,Fri Feb 19 05:32:15 HKT 2021
db20f83e-a82d-48c1-b9a3-c78193906e29,bac11476-51ea-4a93-8e5e-2e5d12184ef8,Conformity,9386229f-2b04-479c-89cd-be5e1bcd91a9,Fri Feb 19 05:32:15 HKT 2021
db20f83e-a82d-48c1-b9a3-c78193906e29,366b1a55-1baf-466c-ae86-eb680c2ce092,Uniqueness,,Fri Feb 19 05:32:15 HKT 2021
76f36bea-c254-44cd-b4bf-d9483b85ec9e,ae4ab015-cb76-4738-8ec9-bc8187ae0d53,Conformity,f1a19e67-df5d-423f-841f-066601ddf236,Fri Feb 19 05:32:15 HKT 2021
76f36bea-c254-44cd-b4bf-d9483b85ec9e,c248b844-ddaa-418d-9779-623886ad98fb,Completeness,03dda852-4deb-4a64-ac2c-6db1d936e07d,Fri Feb 19 05:32:15 HKT 2021
