Concept ID,Domain ID,Governor ID,Collibra Location ID,Extract Timestamp
766bcc47-f200-479c-a4a7-d51f18ce6007,,,cb78d74e-8ae4-42e6-af39-cb435f62ac42,Fri Feb 19 05:39:09 HKT 2021
7c719dd8-2b61-40b9-ae5a-13dba9619681,,,cb78d74e-8ae4-42e6-af39-cb435f62ac42,Fri Feb 19 05:39:09 HKT 2021
90bcf7f2-98de-40bf-81aa-cb47a58d42b3,,c936eeb0-7bef-49e3-b69e-13c3c73cd515,cb78d74e-8ae4-42e6-af39-cb435f62ac42,Fri Feb 19 05:39:09 HKT 2021
10b7815c-69e4-41a6-b51f-1e8ad8497fc2,,,789c6b46-32f4-4082-bc27-43579c32ed93,Fri Feb 19 05:39:09 HKT 2021
a5dfadcb-fe0d-4ea1-9f66-c75367745312,,,cb78d74e-8ae4-42e6-af39-cb435f62ac42,Fri Feb 19 05:39:09 HKT 2021
9dd4a734-6c48-4c19-8c53-8a7734badea2,5159e59f-0c74-4a6f-8214-4ace2aed4935,6c2082d6-17a1-49df-a79f-7f8138778495,789c6b46-32f4-4082-bc27-43579c32ed93,Fri Feb 19 05:39:09 HKT 2021
a9459f21-4b7e-45ed-8779-74054d57a8a6,5159e59f-0c74-4a6f-8214-4ace2aed4935,6c2082d6-17a1-49df-a79f-7f8138778495,789c6b46-32f4-4082-bc27-43579c32ed93,Fri Feb 19 05:39:09 HKT 2021
84aebd24-01d2-46fe-97da-6d4cbce5953a,5159e59f-0c74-4a6f-8214-4ace2aed4935,6c2082d6-17a1-49df-a79f-7f8138778495,789c6b46-32f4-4082-bc27-43579c32ed93,Fri Feb 19 05:39:09 HKT 2021
76beb0a6-f3a9-4b92-b895-6e70fe5e6a42,5159e59f-0c74-4a6f-8214-4ace2aed4935,6c2082d6-17a1-49df-a79f-7f8138778495,789c6b46-32f4-4082-bc27-43579c32ed93,Fri Feb 19 05:39:09 HKT 2021
6b1ad6ae-65ab-441c-ac1c-646a5f7c1c4b,5159e59f-0c74-4a6f-8214-4ace2aed4935,6c2082d6-17a1-49df-a79f-7f8138778495,789c6b46-32f4-4082-bc27-43579c32ed93,Fri Feb 19 05:39:09 HKT 2021
4e19249d-f6a7-4204-9825-1164106138fc,,,cb78d74e-8ae4-42e6-af39-cb435f62ac42,Fri Feb 19 05:39:09 HKT 2021
