Element ID,Property Concept ID,Type Concept ID,HBIM Data Domain ID,Data Governor ID,Qualified Element Alias ID,Collibra Location ID,Extract Timestamp
ec8fe2e3-f439-49ca-8281-817da4e29f64,,,,,,ce1095b6-5f18-4d03-9a9b-006255607a03,Fri Feb 19 05:38:39 HKT 2021
7eae4711-0979-4630-a5fe-5b7b6b1194d7,acb8fc96-553e-4166-8baf-f7e99fca0216,,2f8ef7a3-d2de-4a39-9502-76f5b9b133a8,66f5cfd4-ad61-45e0-9e39-d6fbb2f533a8,,3d911ffa-a292-4d1d-b769-b24d375a318c,Fri Feb 19 05:38:39 HKT 2021
6e45bf72-ae5f-4d62-ba76-a3cabe336b36,acb8fc96-553e-4166-8baf-f7e99fca0216,,2f8ef7a3-d2de-4a39-9502-76f5b9b133a8,66f5cfd4-ad61-45e0-9e39-d6fbb2f533a8,,3d911ffa-a292-4d1d-b769-b24d375a318c,Fri Feb 19 05:38:39 HKT 2021
a7f086b2-2d9c-41c9-ad79-512ab4dd52a5,acb8fc96-553e-4166-8baf-f7e99fca0216,,2f8ef7a3-d2de-4a39-9502-76f5b9b133a8,66f5cfd4-ad61-45e0-9e39-d6fbb2f533a8,,3d911ffa-a292-4d1d-b769-b24d375a318c,Fri Feb 19 05:38:39 HKT 2021
72bd99ec-0dba-4a7b-acf4-3357b2036119,acb8fc96-553e-4166-8baf-f7e99fca0216,,2f8ef7a3-d2de-4a39-9502-76f5b9b133a8,66f5cfd4-ad61-45e0-9e39-d6fbb2f533a8,,3d911ffa-a292-4d1d-b769-b24d375a318c,Fri Feb 19 05:38:39 HKT 2021
05070975-5c9f-4161-b70b-ffd6a66421e9,40870633-b595-4344-961b-674e05802e48,41fcf6d3-5b1f-4c84-9180-70fe0541087a,1069024e-8af6-42e8-bf45-e19ca5321a1e,1019112f-c83f-422a-8402-c6344aecdb79,,1f772f2d-6081-4227-9ccc-af1f05cacb91,Fri Feb 19 05:38:39 HKT 2021
b56297d3-3846-4cfa-95f9-656437d93b2f,acb8fc96-553e-4166-8baf-f7e99fca0216,,2f8ef7a3-d2de-4a39-9502-76f5b9b133a8,66f5cfd4-ad61-45e0-9e39-d6fbb2f533a8,,3d911ffa-a292-4d1d-b769-b24d375a318c,Fri Feb 19 05:38:39 HKT 2021
1ae41015-e7a1-4f1c-921d-d2eb1d0cb064,a7d846aa-7c17-4741-a9ac-7fdcc10d6a48,,ad080bad-9465-4ff1-8c69-47bcc8b1bfcc,fc9ba984-6a06-4adf-94aa-bcf0e900fbae,,3d911ffa-a292-4d1d-b769-b24d375a318c,Fri Feb 19 05:38:39 HKT 2021
af93f99c-6a47-49f7-98fc-a2fe1f0657aa,acb8fc96-553e-4166-8baf-f7e99fca0216,,2f8ef7a3-d2de-4a39-9502-76f5b9b133a8,66f5cfd4-ad61-45e0-9e39-d6fbb2f533a8,,3d911ffa-a292-4d1d-b769-b24d375a318c,Fri Feb 19 05:38:39 HKT 2021
b25ea15b-2f47-45de-9877-beaba91e4def,a7d846aa-7c17-4741-a9ac-7fdcc10d6a48,,ad080bad-9465-4ff1-8c69-47bcc8b1bfcc,fc9ba984-6a06-4adf-94aa-bcf0e900fbae,,3d911ffa-a292-4d1d-b769-b24d375a318c,Fri Feb 19 05:38:39 HKT 2021
e5a3dc49-1862-46d1-ad54-e9a538a9fe4a,acb8fc96-553e-4166-8baf-f7e99fca0216,,2f8ef7a3-d2de-4a39-9502-76f5b9b133a8,66f5cfd4-ad61-45e0-9e39-d6fbb2f533a8,,3d911ffa-a292-4d1d-b769-b24d375a318c,Fri Feb 19 05:38:39 HKT 2021
920cdcbf-a2fa-45fa-a2de-9bec6cc136d8,a7d846aa-7c17-4741-a9ac-7fdcc10d6a48,,ad080bad-9465-4ff1-8c69-47bcc8b1bfcc,fc9ba984-6a06-4adf-94aa-bcf0e900fbae,,3d911ffa-a292-4d1d-b769-b24d375a318c,Fri Feb 19 05:38:39 HKT 2021
dba8fed7-976c-4825-ac9a-a9d213034e32,acb8fc96-553e-4166-8baf-f7e99fca0216,,2f8ef7a3-d2de-4a39-9502-76f5b9b133a8,66f5cfd4-ad61-45e0-9e39-d6fbb2f533a8,,3d911ffa-a292-4d1d-b769-b24d375a318c,Fri Feb 19 05:38:39 HKT 2021
b70d62a5-4130-4935-be45-667fe354b43e,a7d846aa-7c17-4741-a9ac-7fdcc10d6a48,,ad080bad-9465-4ff1-8c69-47bcc8b1bfcc,fc9ba984-6a06-4adf-94aa-bcf0e900fbae,,3d911ffa-a292-4d1d-b769-b24d375a318c,Fri Feb 19 05:38:39 HKT 2021
70363c87-d975-423a-accf-2bd8198f2dc3,acb8fc96-553e-4166-8baf-f7e99fca0216,,2f8ef7a3-d2de-4a39-9502-76f5b9b133a8,66f5cfd4-ad61-45e0-9e39-d6fbb2f533a8,,3d911ffa-a292-4d1d-b769-b24d375a318c,Fri Feb 19 05:38:39 HKT 2021
