de_name,dd_name,dd_l0,dd_l1,dd_l2,dd_l3,domain_path,dqr_published_indicator,dqr_target,dq_name,dq_qr_rule,dq_dimension,dq_target
probability of default for local reporting [credit instrument],Credit Instrument Data,Contract Data,Financial Instrument Data,Credit Instrument Data,,Contract Data_Financial Instrument Data_Credit Instrument Data__probability of default for local reporting [credit instrument],true,0.975,GPB_237579_CMP001_1587c15c-8303-4887-bbc1-871ba5f0a7f3,Must not be blank,Completeness,0.95
probability of default for local reporting [credit instrument],Credit Instrument Data,Contract Data,Financial Instrument Data,Credit Instrument Data,,Contract Data_Financial Instrument Data_Credit Instrument Data__probability of default for local reporting [credit instrument],true,0.975,GPB_1218024_CMP001_1587c15c-8303-4887-bbc1-871ba5f0a7f3,Must not be blank,Completeness,0.95
payment intermediary agent country code [monitored electronic funds transfer account entry],Event Data,Event Data,,,,Event Data____payment intermediary agent country code [monitored electronic funds transfer account entry],true,0.985,GPB_1218024_CMP001_1146387a-b84f-40a9-877f-4dd126b69975,Must not be blank,Completeness,0.95
gender code [individual],Individual Data,Party Data,Individual Data,,,Party Data_Individual Data___gender code [individual],true,0.985,GPB_243052_CMP001_1794ac51-c817-4cc9-83bb-a148647eb693,Must not be blank,Completeness,0.95
gender code [individual],Individual Data,Party Data,Individual Data,,,Party Data_Individual Data___gender code [individual],true,0.985,GPB_243556_CMP001_1794ac51-c817-4cc9-83bb-a148647eb693,Must not be blank,Completeness,0.95
gender code [individual],Individual Data,Party Data,Individual Data,,,Party Data_Individual Data___gender code [individual],true,0.985,GPB_243053_CMP001_1794ac51-c817-4cc9-83bb-a148647eb693,Must not be blank,Completeness,0.95
gender code [individual],Individual Data,Party Data,Individual Data,,,Party Data_Individual Data___gender code [individual],false,0.995,GPB_1218024_CMP001_1794ac51-c817-4cc9-83bb-a148647eb693,Must not be blank,Completeness,0.95
gender code [individual],Individual Data,Party Data,Individual Data,,,Party Data_Individual Data___gender code [individual],true,0.985,GPB_243584_CMP001_1794ac51-c817-4cc9-83bb-a148647eb693,Must not be blank,Completeness,0.95
gender code [individual],Individual Data,Party Data,Individual Data,,,Party Data_Individual Data___gender code [individual],true,0.985,GPB_540662_CMP001_1794ac51-c817-4cc9-83bb-a148647eb693,Must not be blank,Completeness,0.95
gender code [individual],Individual Data,Party Data,Individual Data,,,Party Data_Individual Data___gender code [individual],true,0.985,GPB_714101_CMP001_1794ac51-c817-4cc9-83bb-a148647eb693,Must not be blank,Completeness,0.95
gender code [individual],Individual Data,Party Data,Individual Data,,,Party Data_Individual Data___gender code [individual],false,0.995,GPB_1218024_CMP001_17cb33e5-b079-4cd6-a9c7-e38aca64d7b8,Must not be blank,Completeness,0.95
gender code [individual],Individual Data,Party Data,Individual Data,,,Party Data_Individual Data___gender code [individual],true,0.985,GPB_243585_CMP001_1794ac51-c817-4cc9-83bb-a148647eb693,Must not be blank,Completeness,0.95
date of birth [individual given identity],Identification Data,Party Data,Individual Data,Identification Data,,Party Data_Individual Data_Identification Data__date of birth [individual given identity],true,0.985,GPB_243053_CMP001_18dd0716-94ba-4db9-9346-92c3a46e5817,Must not be blank,Completeness,0.95
